lambda_um	epsilon	I_BB
25.05056	100.0	5357001.841804011
24.9902	-25.9744	5406838.127117394
24.93013	-9.5531	5457011.210172489
24.87034	8.41283	5507529.21252696
24.81084	25.81684	5558383.393146962
24.75163	36.7892	5609573.251429336
24.6927	38.63091	5661107.016743778
24.63404	39.36833	5712993.255491969
24.57567	40.02016	5765213.886709851
24.51757	41.14422	5817786.351446943
24.45975	43.417	5870701.238844516
24.4022	43.59851	5923967.276831188
24.34491	43.57705	5977593.548712781
24.2879	45.69448	6031560.942734716
24.23115	46.43444	6085887.939640817
24.17467	45.75699	6140564.611457721
24.11845	40.59104	6195600.222939237
24.06249	35.50056	6250994.459365951
24.00679	37.13349	6306746.945104822
23.95134	38.18178	6362867.41962436
23.89616	45.14761	6419335.141331841
23.84123	56.45893	6476170.014730902
23.78654	70.43816	6533382.273861564
23.73211	82.36716	6590950.65227387
23.67793	85.40115	6648885.147974987
23.62399	90.44687	6707196.162459144
23.5703	92.57902	6765872.5331100095
23.51686	91.87954	6824913.66793943
23.46365	90.89734	6884341.368137462
23.41068	90.29436	6944144.29121197
23.35796	90.21457	7004310.5480424035
23.30547	91.31154	7064862.485761289
23.25321	93.61354	7125799.936646786
23.20119	97.0744	7187110.826234716
23.1494	99.09228	7248806.465682131
23.09785	99.17119	7310874.404081722
23.04652	99.16387	7373338.314619427
22.99541	98.94328	7436198.117156686
22.94454	98.39933	7499428.68434232
22.89389	97.22449	7563054.284746093
22.84346	95.4162	7627074.661494378
22.79326	94.04776	7691476.60254783
22.74328	92.18269	7756272.357855712
22.69351	91.72512	7821474.658011051
22.64396	92.71048	7887070.109672559
22.59463	90.89708	7953058.1537524145
22.5455	87.92575	8019465.341772727
22.4966	86.92377	8086250.650776843
22.44791	87.05524	8153440.65013343
22.39942	88.6486	8221048.971520071
22.35115	90.08309	8289047.287134355
22.30308	90.4874	8357463.269528228
22.25522	85.58042	8426282.341279317
22.20757	85.88848	8495503.876888942
22.16011	87.50049	8565156.689216431
22.11286	84.77155	8635211.125376694
22.06581	82.02332	8705681.42680978
22.01897	80.52412	8776551.967046874
21.97231	80.49928	8847867.887825532
21.92586	81.77945	8919583.027101537
21.87961	83.10627	8991711.989257576
21.83354	83.41767	9064285.772916079
21.78767	84.6191	9137272.62164543
21.742	85.79917	9210671.748651594
21.69651	86.9352	9284514.929368185
21.65122	87.90515	9358769.269391056
21.60611	88.34578	9433467.072637256
21.56119	88.0992	9508591.478702368
21.51646	88.07766	9584141.8794876
21.47191	88.94269	9660134.746559318
21.42755	91.26729	9736552.542806381
21.38337	91.98014	9813411.956355516
21.33937	92.26103	9890712.644069234
21.29555	92.06967	9968454.204660138
21.25191	92.33887	10046636.1778458
21.20845	93.09212	10125258.043503098
21.16517	94.69424	10204319.220822098
21.12206	96.21034	10283837.602461314
21.07913	96.30701	10363794.30887106
21.03637	97.56337	10444207.472696597
20.99379	98.75114	10525057.734930562
20.95138	99.95252	10606363.470281327
20.90914	99.99974	10688124.280721817
20.86707	99.99974	10770339.709819345
20.82517	99.23589	10853009.241913198
20.78343	97.13002	10936152.315629976
20.74187	94.3949	11019728.456858428
20.70047	91.48403	11103777.189983595
20.65923	87.82593	11188298.336188028
20.61816	84.71468	11273270.874251276
20.57725	82.78543	11358714.908757938
20.5365	82.81319	11444630.089770058
20.49592	84.49597	11530994.627527623
20.45549	87.16091	11617850.620900877
20.41522	89.98364	11705176.36316257
20.37511	92.21425	11792971.270817
20.33516	93.2735	11881234.699981749
20.29537	92.91757	11969965.94558835
20.25573	91.29702	12059186.85288481
20.21625	88.79528	12148874.399984283
20.17691	86.0219	12239073.766238527
20.13773	82.89675	12329738.782630181
20.09871	80.28254	12420868.439536132
20.05983	81.17479	12512509.018186241
20.02111	81.39879	12604612.890402995
19.98253	82.11715	12697227.086449506
19.9441	84.05292	12790327.32579362
19.90582	84.41633	12883912.946361711
19.86769	83.74089	12977983.225333344
19.8297	83.3577	13072562.387185596
19.79186	84.78972	13167625.030883398
19.75416	86.67586	13263195.716333851
19.7166	88.36598	13359274.16598022
19.67919	90.13201	13455834.119716784
19.64192	92.67315	13552900.649303162
19.60479	94.35662	13650473.304997165
19.5678	95.94063	13748551.579790773
19.53095	96.47308	13847134.908661973
19.49423	95.89096	13946249.780237047
19.45766	95.52757	14045841.528306985
19.42122	95.16807	14145963.87941326
19.38492	95.13293	14246588.921543937
19.34876	94.79992	14347715.793351823
19.31273	95.08893	14449371.909809254
19.27683	95.40829	14551557.03479921
19.24106	94.26577	14654270.878405645
19.20543	92.74268	14757484.001001261
19.16993	92.49981	14861224.586968038
19.13456	92.66258	14965492.175441466
19.09933	93.25598	15070256.381912889
19.06421	94.0841	15175606.23226195
19.02923	94.77665	15281451.492528163
18.99438	94.82157	15387821.337696664
18.95966	94.0806	15494715.01622347
18.92506	93.08067	15602162.904696647
18.89059	91.91057	15710133.481015062
18.85624	90.85622	15818657.545417363
18.82202	89.79741	15927702.923013665
18.78792	88.60142	16037300.842079692
18.75395	87.94124	16147418.464881087
18.7201	87.80887	16258087.45214036
18.68637	88.16301	16369307.407294203
18.65276	88.94358	16481077.878678985
18.61927	90.01183	16593398.358838463
18.5859	92.44122	16706268.283831194
18.55265	93.5388	16819687.032537494
18.51952	94.84022	16933653.925966658
18.48651	96.07632	17048168.22656391
18.45362	96.71502	17163229.137517784
18.42084	96.60294	17278871.22835626
18.38818	95.72188	17395058.750433266
18.35563	94.20918	17511826.75408784
18.3232	92.3315	17629138.783626646
18.29089	90.73399	17746993.746946942
18.25868	89.16555	17865464.355683714
18.2266	88.1345	17984439.511128
18.19462	87.75149	18104029.663163602
18.16275	87.98283	18224197.4735055
18.131	88.51636	18344904.30826167
18.09936	89.17042	18466187.197548483
18.06783	90.11667	18588045.565490965
18.03641	90.97119	18710478.779821213
18.00509	91.69696	18833525.599101484
17.97389	92.32007	18957106.703827295
17.94279	92.90905	19081300.511807565
17.9118	93.53227	19206066.71677073
17.88092	94.22771	19331404.400636025
17.85014	95.00264	19457353.67018798
17.81947	95.2457	19583873.067978244
17.78891	95.0832	19710961.49898317
17.75845	94.38038	19838659.89830283
17.72809	93.3926	19966968.065291405
17.69784	92.02528	20095842.97362409
17.66769	90.39884	20225326.40602021
17.63764	88.68869	20355418.00031419
17.6077	88.59488	20486073.527715564
17.57785	87.36936	20617379.796152517
17.54811	86.67243	20749248.300407957
17.51847	87.04961	20881722.269868884
17.48893	87.60467	21014801.06475933
